filename,size_bytes,exif_DateTimeOriginal,xmp_DateCreated,fs_birthtime_local,fs_birthtime_utc,assetsd_timeZoneName,assetsd_creatorBundleID,assetsd_importedByDisplayName,exif_UserComment,assetsd_cloudAsset_UUID,assetsd_UUID,quarantine_agent,quarantine_timestamp_utc,sha256
IMG_3326.PNG,471853,2026:08:08 01:06:29,2026-08-08T01:06:29,2026-08-08 01:06:29,2026-08-07 17:06:29 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,45806C23-4137-4127-B627-AB72FAE254C6,45806C23-4137-4127-B627-AB72FAE254C6,sharingd,2026-08-07 17:13:29 UTC,2efb83c102fa9e0ed2cdebf887014e3d771f9070de23728e7ab79cf8159ee9a3
IMG_3327.PNG,497445,2026:08:08 01:06:34,2026-08-08T01:06:34,2026-08-08 01:06:34,2026-08-07 17:06:34 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,ACE549E1-EB61-445D-97AF-D04EED15D6B5,ACE549E1-EB61-445D-97AF-D04EED15D6B5,sharingd,2026-08-07 17:13:29 UTC,7546bdbf738ece9d5d8eadafba50909ac6193455c1390d3894b00e64b4b327d3
IMG_3328.PNG,471802,2026:08:08 01:06:37,2026-08-08T01:06:37,2026-08-08 01:06:37,2026-08-07 17:06:37 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,DB8934FB-68E3-49FA-B79F-DFC5E58D23D3,DB8934FB-68E3-49FA-B79F-DFC5E58D23D3,sharingd,2026-08-07 17:13:29 UTC,4f104cddf40a3a13cd4ade39c37cec0d2c8842860fb47c275a6d8afb0c09720d
IMG_3329.PNG,509774,2026:08:08 01:06:39,2026-08-08T01:06:39,2026-08-08 01:06:39,2026-08-07 17:06:39 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,3CABA3EE-CCF5-4E24-9A24-5AE5FD3134B1,3CABA3EE-CCF5-4E24-9A24-5AE5FD3134B1,sharingd,2026-08-07 17:13:29 UTC,299246ca29b62696a07fe8a3dc44842f541c886c8138140c81b998c176dcd1b8
IMG_3330.PNG,499427,2026:08:08 01:06:41,2026-08-08T01:06:41,2026-08-08 01:06:41,2026-08-07 17:06:41 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,BB4528BD-07CE-4FDC-A84C-42575210EC2F,BB4528BD-07CE-4FDC-A84C-42575210EC2F,sharingd,2026-08-07 17:13:29 UTC,0028060f0caee1d0d88f7fcecc03105157b6f65477bf38cb1100845a2c7c7c62
IMG_3331.PNG,449607,2026:08:08 01:06:43,2026-08-08T01:06:43,2026-08-08 01:06:43,2026-08-07 17:06:43 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,A69E8781-C578-4FF5-9F76-C34F584CE11E,A69E8781-C578-4FF5-9F76-C34F584CE11E,sharingd,2026-08-07 17:13:29 UTC,1934e006391d0a4f4dad006206e81cccbe5e38b1778b85f363f5e490b5663ca0
IMG_3332.PNG,465238,2026:08:08 01:06:44,2026-08-08T01:06:44,2026-08-08 01:06:44,2026-08-07 17:06:44 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,0FE5BE79-3476-45C5-852E-68346CB23BCC,0FE5BE79-3476-45C5-852E-68346CB23BCC,sharingd,2026-08-07 17:13:29 UTC,d51cb0ff2a88566b6bd02177f67ab63333b5c58f633ebdc5261b3de775d9512b
IMG_3333.PNG,457986,2026:08:08 01:06:46,2026-08-08T01:06:46,2026-08-08 01:06:46,2026-08-07 17:06:46 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,F24FB9F0-0409-420C-9588-8F9B1B5D05DE,F24FB9F0-0409-420C-9588-8F9B1B5D05DE,sharingd,2026-08-07 17:13:29 UTC,4e994977cc161a4bb9d0be618e950c8b865d0495ee4741831fabb3a41c6e43b0
IMG_3334.PNG,523015,2026:08:08 01:06:48,2026-08-08T01:06:48,2026-08-08 01:06:48,2026-08-07 17:06:48 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,3920C985-F404-4392-A642-11EC49EA0666,3920C985-F404-4392-A642-11EC49EA0666,sharingd,2026-08-07 17:13:29 UTC,a66ab1342d0a9654be86c18e78cb35edee056c899597d1da3d4e9e6419142aeb
IMG_3335.PNG,517206,2026:08:08 01:06:50,2026-08-08T01:06:50,2026-08-08 01:06:50,2026-08-07 17:06:50 UTC,Australia/Perth,com.apple.springboard,SpringBoard,Screenshot,488CFA30-56D3-400A-ABCC-CD97BDE10948,488CFA30-56D3-400A-ABCC-CD97BDE10948,sharingd,2026-08-07 17:13:29 UTC,b4f1b5d8d4c50c6ae7b272f73d1072bf14e8d0eee4b146eadee1419abe643417
